,,Calc_Instant_Hum_1m,,Calc_Instant_Hum_1m,,Calc_Instant_Hum_1m,,Calc_Instant_Lluvia_1m,,Calc_Instant_Temp_1m,,Calc_Instant_Temp_1m,,Calc_Instant_Temp_1m,,Calc_Instant_PBaro1_1m,,Calc_Instant_PBaro1_1m,,Calc_Instant_PBaro1_1m,
time,status,Avg,status,Max,status,Min,status,Sum,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,
12/12/16 12:48:06 AM,VALID,98.328,VALID,98.337,VALID,98.312,VALID,0.0,VALID,5.133,VALID,5.136,VALID,5.131,VALID,647.991,VALID,648.015,VALID,647.973,
12/12/16 12:49:06 AM,VALID,98.32,VALID,98.337,VALID,98.311,VALID,0.0,VALID,5.122,VALID,5.126,VALID,5.116,VALID,648.009,VALID,648.039,VALID,647.994,
12/12/16 12:50:06 AM,VALID,98.334,VALID,98.347,VALID,98.31,VALID,0.0,VALID,5.131,VALID,5.132,VALID,5.129,VALID,648.016,VALID,648.021,VALID,648.011,
12/12/16 12:51:06 AM,VALID,98.322,VALID,98.344,VALID,98.309,VALID,0.0,VALID,5.119,VALID,5.138,VALID,5.103,VALID,648.034,VALID,648.045,VALID,648.022,
12/12/16 12:52:06 AM,VALID,98.299,VALID,98.346,VALID,98.238,VALID,0.0,VALID,5.01,VALID,5.052,VALID,4.971,VALID,648.068,VALID,648.077,VALID,648.059,
12/12/16 12:53:06 AM,VALID,98.253,VALID,98.274,VALID,98.241,VALID,0.0,VALID,4.976,VALID,4.978,VALID,4.973,VALID,648.083,VALID,648.094,VALID,648.074,
12/12/16 12:54:06 AM,VALID,98.28,VALID,98.305,VALID,98.267,VALID,0.0,VALID,4.984,VALID,4.993,VALID,4.98,VALID,648.091,VALID,648.104,VALID,648.085,
12/12/16 12:55:06 AM,VALID,98.319,VALID,98.344,VALID,98.278,VALID,0.0,VALID,5.023,VALID,5.034,VALID,5.011,VALID,648.109,VALID,648.11,VALID,648.109,
12/12/16 12:56:06 AM,VALID,98.323,VALID,98.345,VALID,98.311,VALID,0.0,VALID,5.017,VALID,5.02,VALID,5.012,VALID,648.103,VALID,648.112,VALID,648.096,
12/12/16 12:57:06 AM,VALID,98.264,VALID,98.278,VALID,98.242,VALID,0.0,VALID,4.99,VALID,4.992,VALID,4.988,VALID,648.109,VALID,648.123,VALID,648.097,
12/12/16 12:58:07 AM,VALID,98.283,VALID,98.313,VALID,98.233,VALID,0.0,VALID,5.014,VALID,5.019,VALID,5.011,VALID,648.105,VALID,648.118,VALID,648.087,
12/12/16 12:59:07 AM,VALID,98.317,VALID,98.336,VALID,98.304,VALID,0.0,VALID,5.019,VALID,5.024,VALID,5.016,VALID,648.103,VALID,648.11,VALID,648.089,
12/12/16 1:00:07 AM,VALID,98.296,VALID,98.311,VALID,98.275,VALID,0.0,VALID,5.027,VALID,5.039,VALID,5.017,VALID,648.104,VALID,648.118,VALID,648.086,
12/12/16 1:01:07 AM,VALID,98.301,VALID,98.314,VALID,98.277,VALID,0.0,VALID,5.053,VALID,5.056,VALID,5.05,VALID,648.104,VALID,648.12,VALID,648.09,
12/12/16 1:02:07 AM,VALID,98.306,VALID,98.311,VALID,98.304,VALID,0.0,VALID,5.051,VALID,5.059,VALID,5.047,VALID,648.09,VALID,648.104,VALID,648.068,
12/12/16 1:03:07 AM,VALID,98.322,VALID,98.345,VALID,98.31,VALID,0.0,VALID,5.09,VALID,5.1,VALID,5.071,VALID,648.104,VALID,648.12,VALID,648.094,
12/12/16 1:04:06 AM,VALID,98.311,VALID,98.313,VALID,98.309,VALID,0.0,VALID,5.085,VALID,5.09,VALID,5.077,VALID,648.11,VALID,648.119,VALID,648.094,
12/12/16 1:05:06 AM,VALID,98.324,VALID,98.346,VALID,98.311,VALID,0.0,VALID,5.092,VALID,5.1,VALID,5.085,VALID,648.137,VALID,648.162,VALID,648.123,
12/12/16 1:06:06 AM,VALID,98.307,VALID,98.312,VALID,98.305,VALID,0.0,VALID,5.097,VALID,5.104,VALID,5.088,VALID,648.161,VALID,648.182,VALID,648.149,
12/12/16 1:07:06 AM,VALID,98.318,VALID,98.338,VALID,98.305,VALID,0.0,VALID,5.098,VALID,5.102,VALID,5.092,VALID,648.174,VALID,648.195,VALID,648.141,
12/12/16 1:08:06 AM,VALID,98.321,VALID,98.347,VALID,98.304,VALID,0.0,VALID,5.117,VALID,5.126,VALID,5.113,VALID,648.215,VALID,648.218,VALID,648.212,
12/12/16 1:09:06 AM,VALID,98.298,VALID,98.346,VALID,98.244,VALID,0.0,VALID,5.05,VALID,5.078,VALID,5.032,VALID,648.207,VALID,648.21,VALID,648.201,
12/12/16 1:10:06 AM,VALID,98.272,VALID,98.276,VALID,98.267,VALID,0.0,VALID,5.003,VALID,5.018,VALID,4.988,VALID,648.231,VALID,648.237,VALID,648.228,
12/12/16 1:11:06 AM,VALID,98.262,VALID,98.275,VALID,98.242,VALID,0.0,VALID,4.983,VALID,4.987,VALID,4.981,VALID,648.238,VALID,648.245,VALID,648.227,
12/12/16 1:12:06 AM,VALID,98.298,VALID,98.311,VALID,98.278,VALID,0.0,VALID,5.002,VALID,5.014,VALID,4.993,VALID,648.259,VALID,648.268,VALID,648.244,
12/12/16 1:13:06 AM,VALID,98.353,VALID,98.378,VALID,98.339,VALID,0.0,VALID,5.043,VALID,5.057,VALID,5.035,VALID,648.279,VALID,648.312,VALID,648.259,
12/12/16 1:14:06 AM,VALID,98.356,VALID,98.379,VALID,98.345,VALID,0.0,VALID,5.049,VALID,5.068,VALID,5.027,VALID,648.293,VALID,648.312,VALID,648.273,
12/12/16 1:15:06 AM,VALID,98.289,VALID,98.313,VALID,98.275,VALID,0.0,VALID,4.983,VALID,5.011,VALID,4.958,VALID,648.31,VALID,648.336,VALID,648.278,
12/12/16 1:16:06 AM,VALID,98.295,VALID,98.311,VALID,98.271,VALID,0.0,VALID,4.94,VALID,4.944,VALID,4.934,VALID,648.323,VALID,648.351,VALID,648.294,
12/12/16 1:17:06 AM,VALID,98.312,VALID,98.313,VALID,98.311,VALID,0.0,VALID,4.918,VALID,4.943,VALID,4.896,VALID,648.321,VALID,648.345,VALID,648.304,
12/12/16 1:18:06 AM,VALID,98.264,VALID,98.278,VALID,98.243,VALID,0.0,VALID,4.89,VALID,4.895,VALID,4.885,VALID,648.317,VALID,648.342,VALID,648.295,
12/12/16 1:19:06 AM,VALID,98.289,VALID,98.313,VALID,98.274,VALID,0.0,VALID,4.885,VALID,4.893,VALID,4.877,VALID,648.317,VALID,648.326,VALID,648.305,
12/12/16 1:20:06 AM,VALID,98.329,VALID,98.339,VALID,98.313,VALID,0.0,VALID,4.907,VALID,4.915,VALID,4.902,VALID,648.289,VALID,648.303,VALID,648.281,
12/12/16 1:21:06 AM,VALID,98.333,VALID,98.343,VALID,98.312,VALID,0.0,VALID,4.932,VALID,4.945,VALID,4.925,VALID,648.296,VALID,648.311,VALID,648.276,
12/12/16 1:22:06 AM,VALID,98.353,VALID,98.377,VALID,98.338,VALID,0.0,VALID,4.91,VALID,4.92,VALID,4.898,VALID,648.298,VALID,648.311,VALID,648.285,
12/12/16 1:23:06 AM,VALID,98.331,VALID,98.344,VALID,98.305,VALID,0.0,VALID,4.902,VALID,4.905,VALID,4.898,VALID,648.304,VALID,648.33,VALID,648.269,
12/12/16 1:24:06 AM,VALID,98.343,VALID,98.346,VALID,98.338,VALID,0.0,VALID,4.917,VALID,4.924,VALID,4.908,VALID,648.316,VALID,648.327,VALID,648.303,
12/12/16 1:25:06 AM,VALID,98.35,VALID,98.371,VALID,98.337,VALID,0.0,VALID,4.925,VALID,4.927,VALID,4.922,VALID,648.337,VALID,648.349,VALID,648.322,
12/12/16 1:26:06 AM,VALID,98.361,VALID,98.37,VALID,98.343,VALID,0.0,VALID,4.956,VALID,4.97,VALID,4.948,VALID,648.344,VALID,648.361,VALID,648.322,
12/12/16 1:27:06 AM,VALID,98.407,VALID,98.414,VALID,98.403,VALID,0.0,VALID,5.001,VALID,5.009,VALID,4.993,VALID,648.359,VALID,648.362,VALID,648.357,
12/12/16 1:28:06 AM,VALID,98.361,VALID,98.37,VALID,98.345,VALID,0.0,VALID,4.967,VALID,4.977,VALID,4.959,VALID,648.348,VALID,648.362,VALID,648.339,
12/12/16 1:29:06 AM,VALID,98.388,VALID,98.408,VALID,98.378,VALID,0.0,VALID,4.985,VALID,4.997,VALID,4.97,VALID,648.358,VALID,648.37,VALID,648.344,
12/12/16 1:30:06 AM,VALID,98.401,VALID,98.411,VALID,98.38,VALID,0.0,VALID,4.967,VALID,4.976,VALID,4.954,VALID,648.356,VALID,648.368,VALID,648.346,
12/12/16 1:31:06 AM,VALID,98.346,VALID,98.367,VALID,98.336,VALID,0.0,VALID,4.947,VALID,4.952,VALID,4.944,VALID,648.365,VALID,648.376,VALID,648.346,
12/12/16 1:32:06 AM,VALID,98.349,VALID,98.378,VALID,98.303,VALID,0.0,VALID,4.947,VALID,4.952,VALID,4.942,VALID,648.36,VALID,648.373,VALID,648.346,
12/12/16 1:33:06 AM,VALID,98.362,VALID,98.38,VALID,98.337,VALID,0.0,VALID,4.958,VALID,4.964,VALID,4.95,VALID,648.397,VALID,648.401,VALID,648.391,
12/12/16 1:34:06 AM,VALID,98.361,VALID,98.378,VALID,98.334,VALID,0.0,VALID,4.945,VALID,4.952,VALID,4.941,VALID,648.43,VALID,648.438,VALID,648.416,
12/12/16 1:35:06 AM,VALID,98.367,VALID,98.38,VALID,98.344,VALID,0.0,VALID,4.939,VALID,4.941,VALID,4.938,VALID,648.443,VALID,648.452,VALID,648.437,
12/12/16 1:36:06 AM,VALID,98.354,VALID,98.378,VALID,98.337,VALID,0.0,VALID,4.924,VALID,4.941,VALID,4.907,VALID,648.462,VALID,648.474,VALID,648.442,
12/12/16 1:37:06 AM,VALID,98.288,VALID,98.312,VALID,98.274,VALID,0.0,VALID,4.875,VALID,4.889,VALID,4.866,VALID,648.467,VALID,648.472,VALID,648.463,
12/12/16 1:38:06 AM,VALID,98.298,VALID,98.312,VALID,98.278,VALID,0.0,VALID,4.873,VALID,4.876,VALID,4.87,VALID,648.465,VALID,648.478,VALID,648.443,
12/12/16 1:39:06 AM,VALID,98.339,VALID,98.344,VALID,98.334,VALID,0.0,VALID,4.881,VALID,4.887,VALID,4.869,VALID,648.442,VALID,648.46,VALID,648.424,
12/12/16 1:40:06 AM,VALID,98.332,VALID,98.347,VALID,98.314,VALID,0.0,VALID,4.895,VALID,4.904,VALID,4.884,VALID,648.449,VALID,648.461,VALID,648.425,
12/12/16 1:41:06 AM,VALID,98.332,VALID,98.346,VALID,98.304,VALID,0.0,VALID,4.909,VALID,4.915,VALID,4.902,VALID,648.454,VALID,648.474,VALID,648.439,
12/12/16 1:42:06 AM,VALID,98.346,VALID,98.347,VALID,98.345,VALID,0.0,VALID,4.918,VALID,4.919,VALID,4.918,VALID,648.446,VALID,648.455,VALID,648.435,
12/12/16 1:43:06 AM,VALID,98.346,VALID,98.347,VALID,98.346,VALID,0.0,VALID,4.946,VALID,4.963,VALID,4.929,VALID,648.452,VALID,648.454,VALID,648.45,
12/12/16 1:44:06 AM,VALID,98.373,VALID,98.413,VALID,98.338,VALID,0.0,VALID,4.979,VALID,4.985,VALID,4.97,VALID,648.47,VALID,648.49,VALID,648.457,
12/12/16 1:45:06 AM,VALID,98.357,VALID,98.379,VALID,98.345,VALID,0.0,VALID,4.97,VALID,4.972,VALID,4.968,VALID,648.499,VALID,648.515,VALID,648.482,
12/12/16 1:46:06 AM,VALID,98.355,VALID,98.38,VALID,98.337,VALID,0.0,VALID,4.969,VALID,4.971,VALID,4.965,VALID,648.52,VALID,648.538,VALID,648.503,
12/12/16 1:47:06 AM,VALID,98.354,VALID,98.379,VALID,98.338,VALID,0.0,VALID,4.968,VALID,4.974,VALID,4.965,VALID,648.559,VALID,648.568,VALID,648.549,
12/12/16 1:48:06 AM,VALID,98.375,VALID,98.413,VALID,98.334,VALID,0.0,VALID,5.02,VALID,5.039,VALID,4.995,VALID,648.58,VALID,648.587,VALID,648.573,
12/12/16 1:49:06 AM,VALID,98.379,VALID,98.413,VALID,98.347,VALID,0.0,VALID,4.994,VALID,5.018,VALID,4.977,VALID,648.595,VALID,648.608,VALID,648.584,
12/12/16 1:50:06 AM,VALID,98.344,VALID,98.38,VALID,98.312,VALID,0.0,VALID,4.988,VALID,4.998,VALID,4.983,VALID,648.608,VALID,648.625,VALID,648.599,
12/12/16 1:51:06 AM,VALID,98.399,VALID,98.413,VALID,98.375,VALID,0.0,VALID,5.016,VALID,5.035,VALID,5.006,VALID,648.596,VALID,648.602,VALID,648.588,
12/12/16 1:52:06 AM,VALID,98.391,VALID,98.413,VALID,98.378,VALID,0.0,VALID,4.991,VALID,4.992,VALID,4.99,VALID,648.584,VALID,648.596,VALID,648.572,
12/12/16 1:53:06 AM,VALID,98.343,VALID,98.348,VALID,98.335,VALID,0.0,VALID,4.959,VALID,4.979,VALID,4.935,VALID,648.59,VALID,648.598,VALID,648.577,
12/12/16 1:54:06 AM,VALID,98.351,VALID,98.372,VALID,98.334,VALID,0.0,VALID,4.942,VALID,4.952,VALID,4.928,VALID,648.579,VALID,648.601,VALID,648.565,
12/12/16 1:55:06 AM,VALID,98.393,VALID,98.411,VALID,98.368,VALID,0.0,VALID,5.002,VALID,5.025,VALID,4.979,VALID,648.624,VALID,648.626,VALID,648.622,
12/12/16 1:56:06 AM,VALID,98.411,VALID,98.444,VALID,98.38,VALID,0.0,VALID,5.023,VALID,5.028,VALID,5.018,VALID,648.601,VALID,648.614,VALID,648.585,
12/12/16 1:57:06 AM,VALID,98.428,VALID,98.444,VALID,98.398,VALID,0.0,VALID,5.025,VALID,5.037,VALID,5.013,VALID,648.611,VALID,648.614,VALID,648.607,
12/12/16 1:58:06 AM,VALID,98.407,VALID,98.443,VALID,98.377,VALID,0.0,VALID,4.977,VALID,4.992,VALID,4.951,VALID,648.628,VALID,648.636,VALID,648.611,
12/12/16 1:59:06 AM,VALID,98.338,VALID,98.377,VALID,98.301,VALID,0.0,VALID,4.918,VALID,4.923,VALID,4.912,VALID,648.67,VALID,648.7,VALID,648.652,
12/12/16 2:00:07 AM,VALID,98.33,VALID,98.344,VALID,98.304,VALID,0.0,VALID,4.914,VALID,4.92,VALID,4.91,VALID,648.663,VALID,648.665,VALID,648.662,
12/12/16 2:01:06 AM,VALID,98.327,VALID,98.344,VALID,98.301,VALID,0.0,VALID,4.879,VALID,4.892,VALID,4.855,VALID,648.679,VALID,648.685,VALID,648.667,
12/12/16 2:02:06 AM,VALID,98.332,VALID,98.344,VALID,98.31,VALID,0.0,VALID,4.823,VALID,4.84,VALID,4.806,VALID,648.7,VALID,648.719,VALID,648.679,
12/12/16 2:03:06 AM,VALID,98.341,VALID,98.38,VALID,98.302,VALID,0.0,VALID,4.804,VALID,4.817,VALID,4.797,VALID,648.726,VALID,648.745,VALID,648.715,
12/12/16 2:04:06 AM,VALID,98.352,VALID,98.369,VALID,98.342,VALID,0.0,VALID,4.834,VALID,4.848,VALID,4.82,VALID,648.737,VALID,648.754,VALID,648.727,
12/12/16 2:05:06 AM,VALID,98.406,VALID,98.439,VALID,98.368,VALID,0.0,VALID,4.857,VALID,4.86,VALID,4.852,VALID,648.721,VALID,648.741,VALID,648.694,
12/12/16 2:06:06 AM,VALID,98.399,VALID,98.41,VALID,98.378,VALID,0.0,VALID,4.855,VALID,4.866,VALID,4.834,VALID,648.755,VALID,648.763,VALID,648.743,
12/12/16 2:07:06 AM,VALID,98.385,VALID,98.411,VALID,98.369,VALID,0.0,VALID,4.833,VALID,4.843,VALID,4.825,VALID,648.778,VALID,648.796,VALID,648.764,
12/12/16 2:08:06 AM,VALID,98.394,VALID,98.443,VALID,98.361,VALID,0.0,VALID,4.814,VALID,4.82,VALID,4.809,VALID,648.741,VALID,648.746,VALID,648.737,
12/12/16 2:09:06 AM,VALID,98.45,VALID,98.509,VALID,98.401,VALID,0.0,VALID,4.872,VALID,4.892,VALID,4.844,VALID,648.736,VALID,648.748,VALID,648.729,
12/12/16 2:10:06 AM,VALID,98.484,VALID,98.51,VALID,98.467,VALID,0.0,VALID,4.869,VALID,4.872,VALID,4.867,VALID,648.747,VALID,648.75,VALID,648.74,
12/12/16 2:11:06 AM,VALID,98.445,VALID,98.467,VALID,98.433,VALID,0.0,VALID,4.876,VALID,4.878,VALID,4.873,VALID,648.754,VALID,648.761,VALID,648.745,
12/12/16 2:12:06 AM,VALID,98.452,VALID,98.475,VALID,98.441,VALID,0.0,VALID,4.883,VALID,4.891,VALID,4.877,VALID,648.768,VALID,648.779,VALID,648.757,
12/12/16 2:13:06 AM,VALID,98.481,VALID,98.508,VALID,98.467,VALID,0.0,VALID,4.9,VALID,4.917,VALID,4.89,VALID,648.8,VALID,648.831,VALID,648.78,
12/12/16 2:14:06 AM,VALID,98.485,VALID,98.51,VALID,98.469,VALID,0.0,VALID,4.922,VALID,4.929,VALID,4.914,VALID,648.81,VALID,648.812,VALID,648.806,
12/12/16 2:15:06 AM,VALID,98.517,VALID,98.542,VALID,98.476,VALID,0.0,VALID,4.929,VALID,4.96,VALID,4.877,VALID,648.811,VALID,648.82,VALID,648.796,
12/12/16 2:16:06 AM,VALID,98.45,VALID,98.507,VALID,98.401,VALID,0.0,VALID,4.874,VALID,4.883,VALID,4.858,VALID,648.833,VALID,648.847,VALID,648.823,
12/12/16 2:17:06 AM,VALID,98.485,VALID,98.505,VALID,98.475,VALID,0.0,VALID,4.888,VALID,4.899,VALID,4.881,VALID,648.87,VALID,648.885,VALID,648.841,
